Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Arthropoda|Collembola|Entomobryomorpha|Entomobryoidea|Entomobryidae|Seirinae|Seira|,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|subgenus,5T6MX|N|RT|9P|36Q|545|9QS|KBK|7F63|8GYT
Biota|Animalia|Arthropoda|Hexanauplia|Copepoda|Neocopepoda|Podoplea|Harpacticoida|Ameiridae|Ameira,unranked|kingdom|phylum|class|subclass|infraclass|superorder|order|family|genus,5T6MX|N|RT|CG|7NF55|7NF5S|7NF5Z|7NFBH|7NFW9|7NNSP
Biota|Animalia|Arthropoda|Insecta|Caraboidea|Carabidae|Migadopinae|Migadopini|Loxomerus,unranked|kingdom|phylum|class|superfamily|family|subfamily|tribe|genus,5T6MX|N|RT|H6|4WK|8KTL7|8KTPT|8KTW5|8KXLH
Biota|Animalia|Arthropoda|Insecta|Caraboidea|Carabidae|Pterostichinae|Pterostichini|Pterostichina|Analoma,unranked|kingdom|phylum|class|superfamily|family|subfamily|tribe|subtribe|genus,5T6MX|N|RT|H6|4WK|8KTL7|8KTR3|8KTXF|8LTCB|8KV68
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Chrysomeloidea|Cerambycidae|Philus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CHR|7VY|6NLL
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Chrysomeloidea|Chrysomelidae|Cryptocephalinae|Clytrini|Babia,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|tribe|genus,5T6MX|N|RT|H6|C2L|CHR|87S|626SZ|KQF|36ZM
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Brachyceridae|Brachypus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBPM|8HF4K
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Acrantus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8HC5Y
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Cnemidophorus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8HDVR
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Entiminae|Brachyderini|Brachyderes|Brachyderes,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|tribe|genus|subgenus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8JRPN|8JRSZ|8HF3T|8K4LJ
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Eustatius,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8HJNL
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Heteropus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8HKHC
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Lepidosoma,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8HHK9
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Leposoma,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|C2L|CC|8HBQ5|8HHKH
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeoidea|Cetoniidae|Cetoniinae|Goliathini|Rhomborhinina|Mecynorhina|Mecynorhina,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|tribe|subtribe|genus|subgenus,5T6MX|N|RT|H6|C2L|SC|7Y2|62765|628DX|LFK|5MFJ|63XX9
Biota|Animalia|Arthropoda|Insecta|Coleoptera|Scarabaeoidea|Cetoniidae|Cetoniinae|Schizorhinini|Schizorhinina|Bisallardiana,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|tribe|subtribe|genus,5T6MX|N|RT|H6|C2L|SC|7Y2|62765|L85|LFR|62FLM
Biota|Animalia|Arthropoda|Insecta|Hemiptera|Miroidea|Miridae|Dacota,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|HP|M2R|624LX|3Z9B
Biota|Animalia|Arthropoda|Insecta|Hymenoptera|Chalcidoidea,unranked|kingdom|phylum|class|order|superfamily,5T6MX|N|RT|H6|HYM|CD
Biota|Animalia|Arthropoda|Insecta|Hymenoptera|Chalcidoidea|Chalcididae,unranked|kingdom|phylum|class|order|superfamily|family,5T6MX|N|RT|H6|HYM|CD|7Z9
Biota|Animalia|Arthropoda|Insecta|Hymenoptera|Chalcidoidea|Chalcididae|Chalcis,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|RT|H6|HYM|CD|7Z9|62M2J
